"id","no","route","code","location","delivery","info","tng_site","tng_route","latitude","longitude","images","sort_order","qr_code","destination","toll_price","active","no_category"
"e24be878-1a3f-41f4-bc42-8d453b0896cf","33","KL 6","161","Columbia Asia Cheras","Daily","Columbia Asia Hospital Cheras, Lot 33107, Jalan Suakasih, 43200 Cheras, Selangor|||DESCRIPTION||||||URL|||https://www.columbiaasia.com/cheras","TnG JB Plaza","0.00","3.03152500","101.76294500","[]","61","","0.00","0.00","true","1"
"e2bd7ee8-d5ce-4dc1-a74c-e9a32cc035c0","25","SL 2","14","R&R Dengkil NB","","Dengkil R&R ( ELITE Expressway North Bound ), Lebuhraya Utara - Selatan Hubungan Tengah, 42700 Dengkil, Selangor","TnG Subang Jaya","0.00","2.90814870","101.61025520","[]","3","","0.00","0.00","true","1"
"e8ccdb07-9a39-42ab-97ee-c6bafb3ea4d6","7","SL 1","100","Sony Emcs","Weekday","Sony EMCS (Malaysia) Sdn Bhd, Lot 5, Persiaran Kemajuan, Kawasan Perindustrian Bangi, 43650 Bandar Baru Bangi, Selangor","TnG Shah Alam","0.00","2.93694150","101.75920160","[]","32","","0.00","0.00","true","1"
"eeea8368-5ed0-4a1a-ad86-d8398a4680e1","89","SL 3","900","QL Maxincome HQ","Weekday","QL Maxincome Sdn Bhd, 16A, Jalan Astaka U8/83, Bukit Jelutong Business And Technology Centre, 40150 Shah Alam, Selangor","TnG Ampang","0.00","3.10737000","101.54345380","[]","92","","0.00","0.00","true","1"
"f2d970a4-21a2-4edc-b441-85ec70287c8a","86","KL 4","84","Mrt Bandar Utama","Daily","Bandar Utama (SBK09), Persiaran Bandar Utama, Bandar Utama, 47800 Petaling Jaya, Selangor","TnG Cheras","0.00","3.14698090","101.61833070","[{""url"":""https://i.ibb.co/j9Ndzvz2/IMG-8273.jpg"",""type"":""image"",""caption"":""Timming Loading Bay""}]","26","","0.00","0.00","true","1"
"f4a73aa8-6b17-4b6c-96f8-f5186ef50a9b","32","SL 2","153","Cae KL","Weekday","","TnG Brickfields","0.00",,,"[]","60","","0.00","0.00","true","1"
"f4fe6ab3-6957-4f66-9e7a-f33a54f87719","44","SL 1","202","Upm Fsktm","Weekday","","TnG Mont Kiara","0.00",,,"[]","72","","0.00","0.00","true","1"
"f69bc397-6aa7-4eb4-be62-303d87215601","23","SL 3","134","MBB","Daily","Maybank Group Customer Care, Lot 12, Jalan Astaka U8/84, Bukit Jelutong, 40150 Shah Alam, Selangor","TnG Cheras","0.00","3.10578750","101.54381370","[]","53","","0.00","0.00","true","1"
"f7c133a9-b2ec-49ad-9b04-8b75710f1feb","57","KL 4","232","Taylor University","Weekday","Taylor's University Lakeside Campus, 1, Jln Taylors, 47500 Subang Jaya, Selangor","TnG KLCC","0.00","3.06464930","101.61644650","[]","84","","0.00","0.00","true","1"
"f8dfb285-03dd-48f9-8d2b-680c08d1b136","12","SL 1","119","Upm University","Weekday","","TnG Bukit Bintang","0.00",,,"[]","43","","0.00","0.00","true","1"
"fd8328fe-9396-4602-95a7-64c46b0f7599","47","SL 2","21","The Arc","Daily","The Arc @ Cyberjaya Blocks A & B, Persiaran Bestari, Cyberjaya, 63000 Cyberjaya, Selangor","TnG Petaling Jaya","0.00","2.92557010","101.63679570","[]","5","","0.00","0.00","true","1"
